Time,Datetime,Frequency,Magnitude
0,2020-05-05 01:21:08,9.857,0.62
1,2020-05-05 01:21:16,8.0,0.676
2,2020-05-05 01:21:18,1.0,0.568
3,2020-05-05 01:21:46,17.727,0.828
4,2020-05-05 01:21:48,1.0,0.521
5,2020-05-05 01:23:58,1.0,0.615
6,2020-05-05 01:24:52,9.333,0.851
7,2020-05-05 01:24:54,1.0,0.706
8,2020-05-05 05:48:52,15.0,0.889
9,2020-05-05 05:48:54,14.571,0.894
10,2020-05-05 05:48:56,9.75,0.775
11,2020-05-05 05:53:28,17.4,0.911
12,2020-05-05 05:53:38,4.0,0.515
13,2020-05-05 05:53:46,13.0,0.752
14,2020-05-05 05:53:48,18.0,1.028
15,2020-05-05 05:53:50,12.125,0.878
16,2020-05-05 05:57:02,1.0,0.949
17,2020-05-05 05:57:04,12.286,0.696
18,2020-05-05 05:57:08,14.2,0.739
19,2020-05-05 05:57:22,1.0,0.892
20,2020-05-05 05:59:38,15.167,0.88
21,2020-05-05 05:59:40,11.333,0.779
22,2020-05-05 05:59:42,10.1,0.7
23,2020-05-05 05:59:44,7.857,0.623
24,2020-05-05 05:59:46,6.667,0.619
25,2020-05-05 06:00:28,14.444,0.871
26,2020-05-05 06:00:30,6.667,0.698
27,2020-05-05 06:00:32,1.0,1.068
28,2020-05-05 06:00:34,3.5,0.752
29,2020-05-05 06:00:36,13.25,0.851
30,2020-05-05 06:01:06,15.167,0.898
31,2020-05-05 06:01:08,14.429,0.732
32,2020-05-05 06:02:04,3.5,0.604
33,2020-05-05 06:03:20,2.0,1.105
34,2020-05-05 06:03:26,18.125,0.882
35,2020-05-05 06:03:28,18.222,0.753
36,2020-05-05 06:03:32,15.444,0.761
37,2020-05-05 06:03:58,12.412,0.754
38,2020-05-05 06:04:00,10.8,0.722
39,2020-05-05 06:04:10,13.7,0.761
40,2020-05-05 06:04:12,9.0,0.706
41,2020-05-05 06:05:16,13.091,0.777
42,2020-05-05 06:05:18,15.333,0.889
43,2020-05-05 06:05:20,12.833,0.766
44,2020-05-05 06:05:22,11.0,0.786
45,2020-05-05 06:05:34,17.625,0.979
46,2020-05-05 06:05:36,11.0,0.517
47,2020-05-05 06:05:38,13.5,0.903
48,2020-05-05 06:05:42,12.364,0.758
49,2020-05-05 06:06:58,18.2,0.863
50,2020-05-05 06:07:00,10.0,0.84
51,2020-05-05 06:07:02,9.714,0.705
52,2020-05-05 06:07:14,1.5,0.62
53,2020-05-05 06:07:16,15.5,0.918
54,2020-05-05 06:07:18,7.333,0.675
55,2020-05-05 06:07:24,16.286,0.988
56,2020-05-05 06:07:26,10.0,0.555
57,2020-05-05 06:07:28,17.5,1.088
58,2020-05-05 06:07:30,12.25,0.717
59,2020-05-05 06:07:32,9.25,0.713
60,2020-05-05 06:07:34,12.318,0.803
61,2020-05-05 06:07:36,13.167,0.669
62,2020-05-05 06:07:38,7.0,0.788
63,2020-05-05 06:07:40,9.889,0.632
64,2020-05-05 06:07:48,4.0,0.504
65,2020-05-05 06:07:50,4.0,0.524
66,2020-05-05 06:08:10,5.0,0.623
67,2020-05-05 06:08:16,1.0,0.53
68,2020-05-05 06:08:56,1.5,0.709
69,2020-05-05 06:08:58,16.1,0.768
70,2020-05-05 06:09:24,1.5,0.881
71,2020-05-05 06:09:28,11.833,0.76
72,2020-05-05 06:10:06,14.667,0.82
73,2020-05-05 06:10:08,11.0,0.666
74,2020-05-05 06:10:12,14.333,0.947
75,2020-05-05 06:10:20,17.4,1.17
76,2020-05-05 06:10:22,13.75,0.71
77,2020-05-05 06:10:24,10.5,0.584
78,2020-05-05 06:10:26,14.0,0.842
