Time,Datetime,Frequency,Magnitude
0,2020-05-05 01:21:04,12.5,0.532
1,2020-05-05 01:21:06,12.0,0.933
2,2020-05-05 01:21:08,16.25,0.815
3,2020-05-05 01:21:16,12.0,0.727
4,2020-05-05 01:21:46,18.2,1.171
5,2020-05-05 01:24:52,19.4,0.79
6,2020-05-05 04:52:20,1.0,0.592
7,2020-05-05 05:48:52,18.5,1.037
8,2020-05-05 05:48:54,18.667,0.886
9,2020-05-05 05:48:56,12.111,0.763
10,2020-05-05 05:53:28,18.5,1.255
11,2020-05-05 05:53:46,18.375,0.84
12,2020-05-05 05:53:48,18.143,1.124
13,2020-05-05 05:53:50,16.0,0.821
14,2020-05-05 05:57:02,19.0,0.6
15,2020-05-05 05:57:04,17.1,0.932
16,2020-05-05 05:57:08,16.6,0.928
17,2020-05-05 05:59:28,18.0,0.566
18,2020-05-05 05:59:38,18.0,0.947
19,2020-05-05 05:59:40,16.8,0.646
20,2020-05-05 05:59:42,16.333,0.77
21,2020-05-05 05:59:44,13.5,0.596
22,2020-05-05 05:59:46,9.0,0.567
23,2020-05-05 06:00:28,15.1,0.843
24,2020-05-05 06:00:34,18.0,0.515
25,2020-05-05 06:00:36,15.3,0.956
26,2020-05-05 06:01:06,16.25,1.136
27,2020-05-05 06:01:08,14.667,0.777
28,2020-05-05 06:03:26,14.5,1.206
29,2020-05-05 06:03:28,17.222,0.831
30,2020-05-05 06:03:32,15.818,0.867
31,2020-05-05 06:03:58,15.5,1.002
32,2020-05-05 06:04:00,14.333,0.753
33,2020-05-05 06:04:10,13.857,1.122
34,2020-05-05 06:04:12,12.5,0.68
35,2020-05-05 06:05:16,16.0,1.195
36,2020-05-05 06:05:18,18.0,0.628
37,2020-05-05 06:05:20,14.286,0.76
38,2020-05-05 06:05:22,16.833,0.886
39,2020-05-05 06:05:34,17.125,1.226
40,2020-05-05 06:05:38,15.4,0.722
41,2020-05-05 06:05:42,14.3,0.903
42,2020-05-05 06:06:58,15.667,1.491
43,2020-05-05 06:07:02,11.7,0.698
44,2020-05-05 06:07:14,1.0,0.54
45,2020-05-05 06:07:16,16.333,1.045
46,2020-05-05 06:07:18,11.0,0.59
47,2020-05-05 06:07:24,16.143,1.141
48,2020-05-05 06:07:28,17.5,1.309
49,2020-05-05 06:07:30,15.75,0.825
50,2020-05-05 06:07:32,12.0,0.731
51,2020-05-05 06:07:34,16.118,1.043
52,2020-05-05 06:07:36,16.5,0.738
53,2020-05-05 06:07:38,14.8,0.885
54,2020-05-05 06:07:40,14.167,0.615
55,2020-05-05 06:08:56,14.5,0.524
56,2020-05-05 06:08:58,15.143,1.096
57,2020-05-05 06:09:28,13.429,0.786
58,2020-05-05 06:10:06,14.5,1.43
59,2020-05-05 06:10:12,15.571,1.014
60,2020-05-05 06:10:20,14.667,1.155
61,2020-05-05 06:10:22,17.333,0.764
62,2020-05-05 06:10:26,14.0,0.865
63,2020-05-05 06:10:56,15.5,1.296
64,2020-05-05 06:10:58,17.0,0.689
65,2020-05-05 06:11:00,21.0,0.502
66,2020-05-05 06:11:02,14.833,0.947
67,2020-05-05 06:11:04,1.0,0.507
68,2020-05-05 06:11:08,10.0,0.571
69,2020-05-05 06:11:10,18.167,1.249
70,2020-05-05 06:11:16,18.0,0.607
71,2020-05-05 06:12:08,16.333,1.393
72,2020-05-05 06:12:10,10.0,0.537
73,2020-05-05 06:12:12,22.0,0.546
74,2020-05-05 06:12:16,16.375,0.859
75,2020-05-05 06:12:46,13.5,1.7
76,2020-05-05 06:12:48,14.4,0.646
77,2020-05-05 06:13:28,16.0,1.213
78,2020-05-05 06:13:30,15.0,0.748
79,2020-05-05 06:13:34,12.833,0.972
80,2020-05-05 06:13:42,14.5,0.688
81,2020-05-05 06:13:44,16.8,1.001
82,2020-05-05 06:13:48,21.5,0.618
83,2020-05-05 06:15:10,14.727,1.029
84,2020-05-05 06:15:12,16.5,0.77
85,2020-05-05 06:15:16,15.286,0.906
86,2020-05-05 06:15:24,13.556,0.976
87,2020-05-05 06:15:30,17.5,0.601
88,2020-05-05 06:15:58,14.857,1.054
89,2020-05-05 06:16:00,11.0,0.537
90,2020-05-05 06:16:02,16.333,1.319
91,2020-05-05 06:16:04,16.333,0.889
92,2020-05-05 06:16:08,16.25,0.888
93,2020-05-05 06:16:10,1.0,0.504
94,2020-05-05 06:16:18,15.0,0.968
95,2020-05-05 06:16:22,14.0,0.621
96,2020-05-05 06:17:08,16.417,1.128
97,2020-05-05 06:17:10,17.5,0.669
98,2020-05-05 06:17:12,14.0,0.827
99,2020-05-05 06:17:14,11.0,0.684
100,2020-05-05 06:17:20,15.5,0.977
101,2020-05-05 06:17:26,12.0,0.587
102,2020-05-05 06:18:02,15.0,1.132
103,2020-05-05 06:18:06,15.714,1.033
104,2020-05-05 06:18:16,17.25,1.139
105,2020-05-05 06:18:18,19.0,0.687
106,2020-05-05 06:18:22,16.5,0.787
107,2020-05-05 06:19:08,11.6,1.35
108,2020-05-05 06:19:10,14.714,1.192
109,2020-05-05 06:19:14,17.0,0.912
110,2020-05-05 06:19:20,14.5,0.69
111,2020-05-05 06:19:22,14.0,1.11
112,2020-05-05 06:19:26,17.0,0.591
113,2020-05-05 06:20:36,12.571,0.799
114,2020-05-05 06:20:38,17.0,1.239
115,2020-05-05 06:20:42,16.6,0.875
116,2020-05-05 06:20:52,14.0,0.677
117,2020-05-05 06:20:54,17.833,0.899
118,2020-05-05 06:20:58,12.5,0.673
119,2020-05-05 06:21:22,13.5,1.682
120,2020-05-05 06:21:26,16.25,0.945
121,2020-05-05 06:21:34,11.8,1.004
122,2020-05-05 06:21:36,19.667,0.665
123,2020-05-05 06:21:40,19.25,0.707
124,2020-05-05 06:23:02,12.8,1.314
125,2020-05-05 06:23:06,14.286,0.868
126,2020-05-05 06:23:08,13.5,0.616
127,2020-05-05 06:23:26,19.286,1.009
128,2020-05-05 06:23:30,15.6,0.666
129,2020-05-05 06:23:54,15.0,1.285
130,2020-05-05 06:23:56,11.0,0.528
131,2020-05-05 06:23:58,16.333,0.791
132,2020-05-05 06:24:08,13.571,1.104
133,2020-05-05 06:24:12,16.6,0.777
134,2020-05-05 06:25:10,12.9,1.242
135,2020-05-05 06:25:12,11.5,0.58
136,2020-05-05 06:25:16,16.286,0.934
137,2020-05-05 06:25:32,15.0,0.893
138,2020-05-05 06:25:36,15.167,0.769
139,2020-05-05 06:27:28,17.75,1.607
140,2020-05-05 06:27:30,16.4,0.681
141,2020-05-05 06:27:34,17.25,0.952
142,2020-05-05 06:27:40,13.667,1.092
143,2020-05-05 06:27:42,16.667,0.914
144,2020-05-05 06:27:46,15.125,0.675
145,2020-05-05 06:28:50,14.818,0.91
146,2020-05-05 06:28:52,11.0,0.509
147,2020-05-05 06:28:54,15.75,0.81
148,2020-05-05 06:28:56,13.0,0.524
149,2020-05-05 06:29:04,17.25,1.096
150,2020-05-05 06:29:08,17.0,0.671
151,2020-05-05 06:29:26,15.8,1.217
152,2020-05-05 06:29:30,14.286,0.72
153,2020-05-05 06:29:54,9.667,0.588
154,2020-05-05 06:29:56,10.0,0.65
155,2020-05-05 06:30:06,10.0,0.516
156,2020-05-05 06:30:24,19.4,1.094
157,2020-05-05 06:30:26,12.5,0.605
158,2020-05-05 06:30:30,14.333,0.731
159,2020-05-05 06:32:10,16.0,0.606
160,2020-05-05 06:32:52,15.0,1.388
161,2020-05-05 06:32:54,13.5,1.154
162,2020-05-05 06:32:58,15.556,0.801
163,2020-05-05 06:33:10,14.0,0.779
164,2020-05-05 06:33:12,16.667,1.245
165,2020-05-05 06:33:16,13.667,0.793
166,2020-05-05 06:34:16,16.0,1.231
167,2020-05-05 06:34:18,10.0,0.513
168,2020-05-05 06:34:22,12.667,0.865
169,2020-05-05 06:34:40,11.833,0.74
170,2020-05-05 06:34:42,17.0,1.06
171,2020-05-05 06:34:46,11.0,0.587
172,2020-05-05 06:35:04,4.0,0.514
173,2020-05-05 06:35:14,11.5,0.637
174,2020-05-05 06:35:44,17.4,1.299
175,2020-05-05 06:35:46,13.0,0.87
176,2020-05-05 06:35:50,15.571,0.861
177,2020-05-05 06:35:56,19.0,1.069
178,2020-05-05 06:36:00,15.429,0.897
179,2020-05-05 06:36:18,12.667,0.782
180,2020-05-05 06:36:20,17.0,1.447
181,2020-05-05 06:36:24,14.0,0.911
182,2020-05-05 06:36:38,19.0,1.09
183,2020-05-05 06:36:40,12.0,0.557
184,2020-05-05 06:36:44,16.6,0.981
185,2020-05-05 06:37:20,13.9,0.983
186,2020-05-05 06:37:22,11.0,0.583
187,2020-05-05 06:37:26,11.0,0.749
188,2020-05-05 06:37:36,16.2,0.904
189,2020-05-05 06:37:40,16.5,0.651
190,2020-05-05 06:37:42,12.0,0.766
191,2020-05-05 06:38:10,13.429,1.278
192,2020-05-05 06:38:14,15.75,0.789
193,2020-05-05 06:38:20,13.667,0.887
194,2020-05-05 06:38:26,15.5,0.796
195,2020-05-05 06:39:06,2.0,0.514
196,2020-05-05 06:39:10,2.0,0.687
197,2020-05-05 06:40:04,13.0,0.85
198,2020-05-05 06:40:08,1.0,0.505
199,2020-05-05 06:40:20,13.667,1.669
200,2020-05-05 06:40:22,14.0,1.074
201,2020-05-05 06:40:26,17.5,0.78
202,2020-05-05 06:40:30,14.333,1.165
203,2020-05-05 06:40:32,13.0,0.63
204,2020-05-05 06:40:36,8.5,0.513
205,2020-05-05 06:40:44,12.0,0.868
206,2020-05-05 06:40:46,15.0,0.776
207,2020-05-05 06:41:24,16.444,0.861
208,2020-05-05 06:41:36,11.5,0.649
209,2020-05-05 06:42:10,16.143,1.236
210,2020-05-05 06:42:12,18.333,0.61
211,2020-05-05 06:42:16,15.75,0.796
212,2020-05-05 06:42:32,18.571,1.181
213,2020-05-05 06:42:38,16.375,0.862
214,2020-05-05 06:43:12,14.5,1.008
215,2020-05-05 06:43:14,16.5,0.599
216,2020-05-05 06:43:16,15.167,0.894
217,2020-05-05 06:43:20,14.0,1.154
218,2020-05-05 06:43:22,18.143,0.842
219,2020-05-05 06:43:28,15.2,0.779
220,2020-05-05 06:44:12,14.0,1.102
221,2020-05-05 06:44:16,16.286,0.663
222,2020-05-05 06:44:20,16.333,0.977
223,2020-05-05 06:44:28,14.5,0.819
224,2020-05-05 06:44:30,17.625,0.821
225,2020-05-05 06:44:32,14.0,0.52
226,2020-05-05 06:44:36,13.143,0.754
227,2020-05-05 06:45:20,15.444,1.169
228,2020-05-05 06:45:22,21.0,0.656
229,2020-05-05 06:45:24,19.0,0.564
230,2020-05-05 06:45:26,15.25,0.81
231,2020-05-05 06:45:38,19.667,1.234
232,2020-05-05 06:45:44,15.2,0.67
233,2020-05-05 06:45:52,12.5,0.649
234,2020-05-05 06:45:58,15.0,0.804
235,2020-05-05 06:48:22,16.625,0.975
236,2020-05-05 06:48:26,15.143,0.789
237,2020-05-05 06:48:40,15.375,1.059
238,2020-05-05 06:48:44,18.0,0.975
239,2020-05-05 06:49:22,15.4,0.904
240,2020-05-05 06:49:26,15.25,0.656
241,2020-05-05 06:50:02,17.833,1.154
242,2020-05-05 06:50:04,11.0,0.539
243,2020-05-05 06:50:06,14.0,0.741
244,2020-05-05 06:50:34,17.25,1.095
245,2020-05-05 06:50:38,10.5,0.56
246,2020-05-05 06:50:40,14.5,0.6
247,2020-05-05 06:50:42,13.2,0.895
248,2020-05-05 06:51:36,11.6,1.217
249,2020-05-05 06:51:38,13.333,1.108
